종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익,기업가치,시가총액,안전마진율
200880,서연이화,853176000000,864896000000,164717000000,61330000000,11142000000,-217738240000,167600000000,-229.91541766109785
065940,바이오빌,92535000000,181633000000,18215000000,50414000000,-28198000000,-484605970000,71900000000,-773.9999582753825
187220,디티앤씨,36115000000,41232000000,32320000000,15019000000,4018000000,19064120000,106900000000,-82.16639850327408
010780,아이에스동서,1271153000000,810542000000,264328000000,119349000000,387434000000,5233447020000,1038000000000,404.18564739884397
192400,쿠쿠홀딩스,247422000000,90079000000,47497000000,412119000000,67889000000,1398765790000,1059800000000,31.983939422532554
042040,케이피엠테크,56786000000,48327000000,14072000000,77560000000,-918000000,45722770000,94600000000,-51.6672621564482
208370,셀바스헬스케어,18597000000,19294000000,6996000000,424000000,-10245000000,-149122760000,26900000000,-654.3597026022304
002360,SH에너지화학,85759000000,6659000000,10385000000,122000000,2101000000,94849190000,131100000000,-27.651266209000763
066970,엘앤에프,199012000000,140783000000,47209000000,1324000000,27021000000,330896230000,619000000000,-46.54342003231018
027410,비지에프,315225000000,57670000000,34991000000,984277000000,29473000000,1582107600000,733400000000,115.72233433324244
208140,정다운,58537000000,41844000000,19323000000,2712000000,12495000000,154130740000,62200000000,147.79861736334405
007810,코리아써키트,232815000000,87203000000,25509000000,82049000000,-17887000000,-61033970000,125400000000,-148.67142743221692
