종목코드,회사명,기업가치
007210,벽산,148890470000.0
032350,롯데관광개발,25018150000.0
136480,하림,-241711720000.0
045660,에이텍,0.0
002300,한국제지,-116277760000.0
090080,평화산업,-300811250000.0
104480,티케이케미칼,0.0
049800,우진플라임,-286565910000.0
052260,SK바이오랜드,251726980000.0
001130,대한제분,802681050000.0
045390,대아티아이,160521010000.0
001680,대상,1101535460000.0
121600,나노신소재,178277990000.0
088790,진도,130224610000.0
003550,LG,39774212910000.0
050110,캠시스,135585980000.0
093320,케이아이엔엑스,222025050000.0
023530,롯데쇼핑,-1059799270000.0
000640,동아쏘시오홀딩스,879202990000.0
036540,에스에프에이반도체,267364620000.0
086280,현대글로비스,9325856180000.0
130740,티피씨,0.0
038500,삼표시멘트,-505601520000.0
084870,티비에이치글로벌,0.0
131180,딜리,35873000000.0
048550,에스엠컬처앤콘텐츠,-64829840000.0
000970,한국주철관공업,339260830000.0
061970,엘비세미콘,196929880000.0
003300,한일홀딩스,169936890000.0
001560,제일연마공업,112444830000.0
044060,조광아이엘아이,96599340000.0
004250,엔피씨,233387620000.0
079430,현대리바트,790378850000.0
126880,제이엔케이히터,29514410000.0
024850,피에스엠씨,17147670000.0
033560,블루콤,102959320000.0
048770,티피씨메카트로닉스,21576420000.0
