종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익
000910,유니온,110804000000,124783000000,34515000000,75666000000,-717000000
020120,키다리스튜디오,0,0,0,0,0
020000,한섬,681106000000,216677000000,8786000000,73324000000,91983000000
017800,현대엘리베이터,901104000000,745008000000,698622000000,207620000000,143068000000
016580,환인제약,0,0,0,0,0
013580,계룡건설산업,1078439000000,1005435000000,280951000000,143550000000,153693000000
011160,두산건설,901816000000,1911409000000,120001000000,174762000000,-52151000000
021050,서원,89339000000,103999000000,10822000000,75613000000,8594000000
012750,에스원,661458000000,306091000000,114445000000,13595000000,199128000000
015890,태경산업,199189000000,182865000000,49557000000,11795000000,23390000000
027390,한화갤러리아타임월드,0,0,0,0,0
016590,신대양제지,207005000000,147839000000,92447000000,836000000,116632000000
011690,유양디앤유,75465000000,76941000000,9795000000,90622000000,-18410000000
025860,남해화학,0,0,0,0,0
018500,동원금속,157867000000,309590000000,108602000000,8226000000,1221000000
011300,성안,161060000000,155132000000,56510000000,2482000000,-10686000000
012610,경인양행,234817000000,156924000000,32313000000,13583000000,19691000000
017810,풀무원,462648000000,630997000000,395694000000,36713000000,1499000000
011200,현대상선,1479374000000,1777767000000,3483295000000,308402000000,-105665000000
017390,서울도시가스,599363000000,196090000000,225029000000,72476000000,4342000000
025820,이구산업,0,0,0,0,0
011090,에넥스,108225000000,85460000000,10496000000,3112000000,913000000
007460,에이프로젠케이아이씨,141336000000,99827000000,99817000000,215186000000,1574000000
025620,제이준코스메틱,137130000000,41291000000,47005000000,2478000000,7137000000
017960,한국카본,182872000000,51889000000,9333000000,56210000000,2376000000
025000,KPX케미칼,319346000000,81703000000,9918000000,54217000000,23850000000
010580,지코,0,0,0,0,0
007980,태평양물산,294658000000,345542000000,59975000000,2046000000,32530000000
009440,케이씨그린홀딩스,341833000000,275668000000,108445000000,23516000000,13276000000
008420,문배철강,0,0,0,0,0
016880,웅진,486334000000,497735000000,36479000000,130366000000,-84222000000
007310,오뚜기,822591000000,521665000000,266155000000,174234000000,151725000000
008500,일정실업,40664000000,24162000000,1254000000,61000000,-8356000000
014790,한라,1029461000000,1271614000000,256479000000,324384000000,60158000000
010120,LS산전,1501328000000,674067000000,429358000000,112792000000,28665000000
009190,대양금속,0,0,0,0,0
000760,이화산업,45674000000,50864000000,53782000000,353000000,479000000
014820,동원시스템즈,503558000000,429293000000,219777000000,10000000,21736000000
010140,삼성중공업,7405496000000,6267119000000,1269493000000,33281000000,-409252000000
009680,모토닉,338940000000,24450000000,14560000000,3375000000,7242000000
010690,화신,411993000000,466801000000,68244000000,25437000000,-21087000000
000390,삼화페인트공업,269174000000,149570000000,124483000000,8905000000,-2626000000
009450,경동나비엔,287002000000,275122000000,28370000000,10720000000,40802000000
